id,project_id,repository_id,project_url,name,role
57,20,11,https://services.fsd.tuni.fi/catalogue/FSD3618,"Vasara, Paula",UNKNOWN
58,21,11,https://services.fsd.tuni.fi/catalogue/FSD3138,Suomalaisen Kirjallisuuden Seura (SKS). Arkisto,UNKNOWN
59,21,11,https://services.fsd.tuni.fi/catalogue/FSD3138,"Koski, Kaarina",UNKNOWN
60,21,11,https://services.fsd.tuni.fi/catalogue/FSD3138,Suomen Akatemian Mieli ja toinen -projekti,UNKNOWN
61,21,11,https://services.fsd.tuni.fi/catalogue/FSD3138,Finnish Literature Society (SKS). Archive,UNKNOWN
62,21,11,https://services.fsd.tuni.fi/catalogue/FSD3138,"Koski, Kaarina",UNKNOWN
63,21,11,https://services.fsd.tuni.fi/catalogue/FSD3138,Suomen Akatemian Mieli ja toinen -projekti,UNKNOWN
64,22,11,https://services.fsd.tuni.fi/catalogue/FSD3966,Itä-Suomen yliopisto,UNKNOWN
65,22,11,https://services.fsd.tuni.fi/catalogue/FSD3966,University of Eastern Finland,UNKNOWN
66,23,11,https://services.fsd.tuni.fi/catalogue/FSD3868,"Saarelma-Töhönen, Hanna",UNKNOWN
67,23,11,https://services.fsd.tuni.fi/catalogue/FSD3868,"Saarelma-Töhönen, Hanna",UNKNOWN
68,24,11,https://services.fsd.tuni.fi/catalogue/FSD3753,"Linner Matikka, Johanna",UNKNOWN
69,24,11,https://services.fsd.tuni.fi/catalogue/FSD3753,"Linner Matikka, Johanna",UNKNOWN
70,25,11,https://services.fsd.tuni.fi/catalogue/FSD3772,"Kakkonen, Tuomo",UNKNOWN
71,25,11,https://services.fsd.tuni.fi/catalogue/FSD3772,"Kakkonen, Tuomo",UNKNOWN
72,26,11,https://services.fsd.tuni.fi/catalogue/FSD3521,"Lehtonen, Seija",UNKNOWN
73,26,11,https://services.fsd.tuni.fi/catalogue/FSD3521,"Lehtonen, Seija",UNKNOWN
74,27,11,https://services.fsd.tuni.fi/catalogue/FSD3862,Helsingin yliopisto,UNKNOWN
75,27,11,https://services.fsd.tuni.fi/catalogue/FSD3862,Itä-Suomen yliopisto,UNKNOWN
76,27,11,https://services.fsd.tuni.fi/catalogue/FSD3862,Lapin yliopisto,UNKNOWN
77,27,11,https://services.fsd.tuni.fi/catalogue/FSD3862,University of Helsinki,UNKNOWN
78,27,11,https://services.fsd.tuni.fi/catalogue/FSD3862,University of Eastern Finland,UNKNOWN
79,27,11,https://services.fsd.tuni.fi/catalogue/FSD3862,University of Lapland,UNKNOWN
80,28,11,https://services.fsd.tuni.fi/catalogue/FSD3652,"Hiitola, Joa",UNKNOWN
81,28,11,https://services.fsd.tuni.fi/catalogue/FSD3652,"Leinonen, Johanna",UNKNOWN
82,28,11,https://services.fsd.tuni.fi/catalogue/FSD3652,"Karimi, Zeinab",UNKNOWN
83,28,11,https://services.fsd.tuni.fi/catalogue/FSD3652,"Hiitola, Joa",UNKNOWN
84,28,11,https://services.fsd.tuni.fi/catalogue/FSD3652,"Leinonen, Johanna",UNKNOWN
85,28,11,https://services.fsd.tuni.fi/catalogue/FSD3652,"Karimi, Zeinab",UNKNOWN
86,29,11,https://services.fsd.tuni.fi/catalogue/FSD3346,"Haara, Paula",UNKNOWN
87,29,11,https://services.fsd.tuni.fi/catalogue/FSD3346,"Reunanen, Esa",UNKNOWN
88,29,11,https://services.fsd.tuni.fi/catalogue/FSD3346,"Haara, Paula",UNKNOWN
89,29,11,https://services.fsd.tuni.fi/catalogue/FSD3346,"Reunanen, Esa",UNKNOWN
90,30,11,https://services.fsd.tuni.fi/catalogue/FSD2956,"Santaoja, Minna",UNKNOWN
91,30,11,https://services.fsd.tuni.fi/catalogue/FSD2956,"Santaoja, Minna",UNKNOWN
92,31,11,https://services.fsd.tuni.fi/catalogue/FSD3842,"Kallio, Joel",UNKNOWN
93,31,11,https://services.fsd.tuni.fi/catalogue/FSD3842,"Kallio, Joel",UNKNOWN
94,32,11,https://services.fsd.tuni.fi/catalogue/FSD2076,"Kuusinen, Jorma",UNKNOWN
95,32,11,https://services.fsd.tuni.fi/catalogue/FSD2076,"Kuusinen, Jorma",UNKNOWN
96,33,11,https://services.fsd.tuni.fi/catalogue/FSD1129,Sosiaaliturvan keskusliitto (STKL),UNKNOWN
97,33,11,https://services.fsd.tuni.fi/catalogue/FSD1129,Finnish Federation for Social Welfare (STKL),UNKNOWN
98,34,11,https://services.fsd.tuni.fi/catalogue/FSD2741,Tilastokeskus. Haastattelu- ja tutkimuspalvelut,UNKNOWN
99,34,11,https://services.fsd.tuni.fi/catalogue/FSD2741,Työministeriö,UNKNOWN
100,34,11,https://services.fsd.tuni.fi/catalogue/FSD2741,Statistics Finland. Interview and Survey Services,UNKNOWN
101,34,11,https://services.fsd.tuni.fi/catalogue/FSD2741,Ministry of Labour,UNKNOWN
102,35,11,https://services.fsd.tuni.fi/catalogue/FSD1285,Helsingin kaupunki,UNKNOWN
103,35,11,https://services.fsd.tuni.fi/catalogue/FSD1285,Nuori Suomi,UNKNOWN
104,35,11,https://services.fsd.tuni.fi/catalogue/FSD1285,Suomen Kuntoliikuntaliitto,UNKNOWN
105,35,11,https://services.fsd.tuni.fi/catalogue/FSD1285,Suomen Liikunta ja Urheilu (SLU),UNKNOWN
106,35,11,https://services.fsd.tuni.fi/catalogue/FSD1285,Suomen Olympiakomitea,UNKNOWN
107,35,11,https://services.fsd.tuni.fi/catalogue/FSD1285,Opetusministeriö,UNKNOWN
108,35,11,https://services.fsd.tuni.fi/catalogue/FSD1285,"Pehkonen, Juhani",UNKNOWN
109,35,11,https://services.fsd.tuni.fi/catalogue/FSD1285,City of Helsinki,UNKNOWN
110,35,11,https://services.fsd.tuni.fi/catalogue/FSD1285,Young Finland Association,UNKNOWN
111,35,11,https://services.fsd.tuni.fi/catalogue/FSD1285,Finnish Sport for All Association,UNKNOWN
112,35,11,https://services.fsd.tuni.fi/catalogue/FSD1285,Finnish Sports Federation (FSF),UNKNOWN
113,35,11,https://services.fsd.tuni.fi/catalogue/FSD1285,Finnish Olympic Committee,UNKNOWN
114,35,11,https://services.fsd.tuni.fi/catalogue/FSD1285,Ministry of Education,UNKNOWN
115,35,11,https://services.fsd.tuni.fi/catalogue/FSD1285,"Pehkonen, Juhani",UNKNOWN
116,36,11,https://services.fsd.tuni.fi/catalogue/FSD2109,"Pulkkinen, Lea",UNKNOWN
117,36,11,https://services.fsd.tuni.fi/catalogue/FSD2109,"Kinnunen, Ulla",UNKNOWN
118,36,11,https://services.fsd.tuni.fi/catalogue/FSD2109,"Kokko, Katja",UNKNOWN
119,36,11,https://services.fsd.tuni.fi/catalogue/FSD2109,"Pulkkinen, Lea",UNKNOWN
120,36,11,https://services.fsd.tuni.fi/catalogue/FSD2109,"Kinnunen, Ulla",UNKNOWN
121,36,11,https://services.fsd.tuni.fi/catalogue/FSD2109,"Kokko, Katja",UNKNOWN
122,37,11,https://services.fsd.tuni.fi/catalogue/FSD3583,"Väkeväinen, Nina",UNKNOWN
123,37,11,https://services.fsd.tuni.fi/catalogue/FSD3583,"Väkeväinen, Nina",UNKNOWN
124,38,11,https://services.fsd.tuni.fi/catalogue/FSD2309,"Haikonen, Matti",UNKNOWN
125,38,11,https://services.fsd.tuni.fi/catalogue/FSD2309,"Haikonen, Matti",UNKNOWN
126,39,11,https://services.fsd.tuni.fi/catalogue/FSD3128,"Kolhinen, Johanna",UNKNOWN
127,39,11,https://services.fsd.tuni.fi/catalogue/FSD3128,"Kolhinen, Johanna",UNKNOWN
128,40,11,https://services.fsd.tuni.fi/catalogue/FSD3672,"Jousmäki, Henna",UNKNOWN
129,40,11,https://services.fsd.tuni.fi/catalogue/FSD3672,"Hautamäki, Tiina",UNKNOWN
130,40,11,https://services.fsd.tuni.fi/catalogue/FSD3672,"Kinossalo, Maiju",UNKNOWN
131,40,11,https://services.fsd.tuni.fi/catalogue/FSD3672,"Jousmäki, Henna",UNKNOWN
132,40,11,https://services.fsd.tuni.fi/catalogue/FSD3672,"Hautamäki, Tiina",UNKNOWN
133,40,11,https://services.fsd.tuni.fi/catalogue/FSD3672,"Kinossalo, Maiju",UNKNOWN
134,41,11,https://services.fsd.tuni.fi/catalogue/FSD3847,"Mikkonen, Jukka",UNKNOWN
135,41,11,https://services.fsd.tuni.fi/catalogue/FSD3847,"Mikkonen, Jukka",UNKNOWN
136,42,11,https://services.fsd.tuni.fi/catalogue/FSD3044,Suomalaisen Kirjallisuuden Seura (SKS). Kansanrunousarkisto,UNKNOWN
137,42,11,https://services.fsd.tuni.fi/catalogue/FSD3044,Talonpoikaiskulttuurisäätiö,UNKNOWN
138,42,11,https://services.fsd.tuni.fi/catalogue/FSD3044,Finnish Literature Society (SKS). Folklore Archives,UNKNOWN
139,42,11,https://services.fsd.tuni.fi/catalogue/FSD3044,Talonpoikaiskulttuurisäätiö,UNKNOWN
140,43,11,https://services.fsd.tuni.fi/catalogue/FSD2864,"Ahrio, Leena",UNKNOWN
141,43,11,https://services.fsd.tuni.fi/catalogue/FSD2864,"Ahrio, Leena",UNKNOWN
142,44,11,https://services.fsd.tuni.fi/catalogue/FSD1002,Suomen Gallup,UNKNOWN
143,44,11,https://services.fsd.tuni.fi/catalogue/FSD1002,Helsingin yliopisto. Yleisen valtio-opin laitos,UNKNOWN
144,44,11,https://services.fsd.tuni.fi/catalogue/FSD1002,Gallup Finland,UNKNOWN
145,44,11,https://services.fsd.tuni.fi/catalogue/FSD1002,University of Helsinki. Department of Political Science,UNKNOWN
146,45,11,https://services.fsd.tuni.fi/catalogue/FSD3585,"Ritola, Emmi",UNKNOWN
147,45,11,https://services.fsd.tuni.fi/catalogue/FSD3585,"Ritola, Emmi",UNKNOWN
148,46,11,https://services.fsd.tuni.fi/catalogue/FSD2750,Tilastokeskus. Haastattelu- ja tutkimuspalvelut,UNKNOWN
149,46,11,https://services.fsd.tuni.fi/catalogue/FSD2750,Työministeriö,UNKNOWN
150,46,11,https://services.fsd.tuni.fi/catalogue/FSD2750,Statistics Finland. Interview and Survey Services,UNKNOWN
151,46,11,https://services.fsd.tuni.fi/catalogue/FSD2750,Ministry of Labour,UNKNOWN
152,47,11,https://services.fsd.tuni.fi/catalogue/FSD3845,Suomen ympäristökeskus,UNKNOWN
153,47,11,https://services.fsd.tuni.fi/catalogue/FSD3845,Finnish Environment Institute,UNKNOWN
154,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,Tampereen yliopisto. Kasvatustieteiden yksikkö,UNKNOWN
155,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,Institute for International Cooperation of the German Adult Education Association (DVV International),UNKNOWN
156,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,Tallinn University,UNKNOWN
157,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,The Aristotle University of Thessaloniki,UNKNOWN
158,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,University of Szeged,UNKNOWN
159,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,Loughborough University London,UNKNOWN
160,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,Social Sciences University of Ankara,UNKNOWN
161,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,University College London,UNKNOWN
162,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,University of Tampere. School of Education,UNKNOWN
163,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,Institute for International Cooperation of the German Adult Education Association (DVV International),UNKNOWN
164,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,Tallinn University,UNKNOWN
165,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,The Aristotle University of Thessaloniki,UNKNOWN
166,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,University of Szeged,UNKNOWN
167,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,Loughborough University London,UNKNOWN
168,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,Social Sciences University of Ankara,UNKNOWN
169,48,11,https://services.fsd.tuni.fi/catalogue/FSD3300,University College London,UNKNOWN
170,49,11,https://services.fsd.tuni.fi/catalogue/FSD3572,"Valkonen, Jarno",UNKNOWN
171,49,11,https://services.fsd.tuni.fi/catalogue/FSD3572,"Huilaja, Heikki",UNKNOWN
172,49,11,https://services.fsd.tuni.fi/catalogue/FSD3572,"Kinnunen, Veera",UNKNOWN
173,49,11,https://services.fsd.tuni.fi/catalogue/FSD3572,"Saariniemi, Johanna",UNKNOWN
174,49,11,https://services.fsd.tuni.fi/catalogue/FSD3572,"Nykänen, Anna-Stina",UNKNOWN
175,49,11,https://services.fsd.tuni.fi/catalogue/FSD3572,Helsingin Sanomat,UNKNOWN
176,49,11,https://services.fsd.tuni.fi/catalogue/FSD3572,"Valkonen, Jarno",UNKNOWN
177,49,11,https://services.fsd.tuni.fi/catalogue/FSD3572,"Huilaja, Heikki",UNKNOWN
178,49,11,https://services.fsd.tuni.fi/catalogue/FSD3572,"Kinnunen, Veera",UNKNOWN
179,49,11,https://services.fsd.tuni.fi/catalogue/FSD3572,"Saariniemi, Johanna",UNKNOWN
180,49,11,https://services.fsd.tuni.fi/catalogue/FSD3572,"Nykänen, Anna-Stina",UNKNOWN
181,49,11,https://services.fsd.tuni.fi/catalogue/FSD3572,Helsingin Sanomat,UNKNOWN
182,50,11,https://services.fsd.tuni.fi/catalogue/FSD2202,"Pulkkinen, Lea",UNKNOWN
183,50,11,https://services.fsd.tuni.fi/catalogue/FSD2202,"Pulkkinen, Lea",UNKNOWN
184,51,11,https://services.fsd.tuni.fi/catalogue/FSD2383,"Peltoniemi, Aila",UNKNOWN
185,51,11,https://services.fsd.tuni.fi/catalogue/FSD2383,"Peltoniemi, Aila",UNKNOWN
186,52,11,https://services.fsd.tuni.fi/catalogue/FSD2120,"Pulkkinen, Lea",UNKNOWN
187,52,11,https://services.fsd.tuni.fi/catalogue/FSD2120,"Pulkkinen, Lea",UNKNOWN
188,53,11,https://services.fsd.tuni.fi/catalogue/FSD3733,"Mankki, Ville",UNKNOWN
189,53,11,https://services.fsd.tuni.fi/catalogue/FSD3733,"Mankki, Ville",UNKNOWN
190,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Auranen, Tiina",UNKNOWN
191,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Karhulahti, Veli-Matti",UNKNOWN
192,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Saariniemi, Sara",UNKNOWN
193,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Turtiainen, Emilia",UNKNOWN
194,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Valtonen, Venla",UNKNOWN
195,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Kauraoja, Valtteri",UNKNOWN
196,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Nerg, Henri",UNKNOWN
197,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Siidoroff, Aleksi",UNKNOWN
198,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Malinen, Ville",UNKNOWN
199,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Munukka, Pauliina",UNKNOWN
200,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Siutila, Miia",UNKNOWN
201,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Auranen, Tiina",UNKNOWN
202,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Karhulahti, Veli-Matti",UNKNOWN
203,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Saariniemi, Sara",UNKNOWN
204,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Turtiainen, Emilia",UNKNOWN
205,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Valtonen, Venla",UNKNOWN
206,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Kauraoja, Valtteri",UNKNOWN
207,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Nerg, Henri",UNKNOWN
208,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Siidoroff, Aleksi",UNKNOWN
209,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Malinen, Ville",UNKNOWN
210,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Munukka, Pauliina",UNKNOWN
211,54,11,https://services.fsd.tuni.fi/catalogue/FSD4014,"Siutila, Miia",UNKNOWN
