id,query_string,repository_id,repository_url,project_url,version,title,description,language,doi,upload_date,download_date,download_repository_folder,download_project_folder,download_version_folder,download_method,license,license_url
1,,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD4042,,Writings of People with Polycystic Ovary Syndrome (PCOS) 2025,The data consists of writings in which the respondents describe their experiences related to polycystic ovary syndrome (PCOS). The data was originally collected for a master's thesis that examined the experiences of women living with PCOS regarding the stigma associated with womanhood. The invitation to write asked participants to share their personal experiences related to the condition and to reflect on the situations in which they had experienced stigma directed at women due to their PCOS sym,"fi, en",https://doi.org/10.60686/t-fsd4042,2026-04-10,2026-04-16T21:56:27.047234,finnish-social-science-data-archive,FSD4042,,API-CALL,In accordance with the agreement between FSD and the depositor.,
2,,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3934,,Experiences of Domestic Violence in Childhood 2024,The data consists of writings by adults who experienced domestic violence as children. In the writings the respondents describe their childhood experiences of violence and how they coped with them. The written responses sought to obtain answers from persons who had experienced physical or psychological violence from a close relative during childhood. The writing instructions asked respondents to describe the nature of the violence they had experienced and who it was directed at. Respondents were,"fi, en",https://doi.org/10.60686/t-fsd3934,2025-09-09,2026-04-16T21:56:27.585670,finnish-social-science-data-archive,FSD3934,,API-CALL,In accordance with the agreement between FSD and the depositor.,
3,,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3992,,Lasten ja nuorten vapaa-aika 2022,"FSD:n aineistokuvailut (FSD metadata records), joiden tekijä on Suomen yhteiskuntatieteellinen tietoarkisto (Finnish Social Science Data Archive), on lisensoitu Creative Commons 1.0 Yleismaailmallinen (CC0 1.0) -lisenssillä. https://creativecommons.org/publicdomain/zero/1.0/deed.fi",fi,https://doi.org/10.60686/t-fsd3992,2026-04-07,2026-04-16T21:56:28.129674,finnish-social-science-data-archive,FSD3992,,API-CALL,Tietoarkiston ja aineiston luovuttajan tekemän sopimuksen mukaisesti.,
4,,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3990,,Lasten ja nuorten vapaa-aika 2020,"FSD:n aineistokuvailut (FSD metadata records), joiden tekijä on Suomen yhteiskuntatieteellinen tietoarkisto (Finnish Social Science Data Archive), on lisensoitu Creative Commons 1.0 Yleismaailmallinen (CC0 1.0) -lisenssillä. https://creativecommons.org/publicdomain/zero/1.0/deed.fi",fi,https://doi.org/10.60686/t-fsd3990,2026-04-07,2026-04-16T21:56:28.654494,finnish-social-science-data-archive,FSD3990,,API-CALL,Tietoarkiston ja aineiston luovuttajan tekemän sopimuksen mukaisesti.,
5,,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3605,,Interviews with Coaches and Coachees and Coaching Session Recordings from an Intermediate Labour Market Workshop 2014-2016,"The dataset consists of interviews with coaches and coachees on their thoughts and experiences regarding intermediate labour market workshop activities and their development. The data also include coaching session recordings from one workshop. The data were collected as part of the 'Building Innovation Agency through Empowering Backstage Collaboration' (BINEC) research project, funded by the Emil Aaltonen Foundation. The interviews with the coaches examined their views on the process of developi","fi, en",https://doi.org/10.60686/t-fsd3605,2023-08-07,2026-04-16T21:56:29.174202,finnish-social-science-data-archive,FSD3605,,API-CALL,In accordance with the agreement between FSD and the depositor.,
6,,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3604,,Coaching Encounters in Rehabilitative Work Activities 2019-2020,"The dataset consists of transcripts of individual coaching encounters, which focus on the promotion of employment and the day-to-day activities of vocational rehabilitation workshops. The coaching encounters are from different stages of the coaching process and the same person has typically participated in more than one recorded coaching encounter. The data collection was carried out as part of the day-to-day activities of the workshops, independent of the research project. The dataset is part o","fi, en",https://doi.org/10.60686/t-fsd3604,2024-03-07,2026-04-16T21:56:29.699485,finnish-social-science-data-archive,FSD3604,,API-CALL,In accordance with the agreement between FSD and the depositor.,
7,,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3647,,Teachers' and Guidance Counsellors' Views on Gender and Culture Sensitive Career Guidance 2020,The dataset consists of interviews with professionals in the field of education and guidance on the topic of gender and culture sensitive career guidance. The interviews examine how the interviewees implement gender and culture sensitive guidance in their own work. The dataset has been collected as part of the Potential - Promoting gender and culture sensitive career guidance project. The interview framework consisted of set questions and themes. The interviewees were asked how they provide care,"fi, en",https://doi.org/10.60686/t-fsd3647,2023-08-30,2026-04-16T21:56:30.222269,finnish-social-science-data-archive,FSD3647,,API-CALL,In accordance with the agreement between FSD and the depositor.,
8,,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3534,,Children and Youth Leisure Survey: 7-9-Year-Olds 2018,"The survey studied the leisure time activities and physical activity of Finnish children aged 7-9. In addition to organised sport, everyday physical activities were also included in the study's definition of physical activity. The interviews were conducted with children aged 7-9 and their parents or guardians. The study was funded by the State Youth Council. First, the parents of the respondents were asked whether their child had any hobbies (not only organised activities but also hobbies that t","fi, en",https://doi.org/10.60686/t-fsd3534,2022-10-22,2026-04-16T21:56:30.748604,finnish-social-science-data-archive,FSD3534,,API-CALL,In accordance with the agreement between FSD and the depositor.,
9,,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3425,,Self-management in Working Life 2020,"This dataset consists of 17 writings on the respondents' experiences of self-management in working life. The participants worked in expert organisations. In the writing instructions, the respondents were asked to describe what self-management meant for them personally and how it showed in their work, as well as what factors in their life contributed to their working capacity and how they achieved their goals in working life. Additionally, the respondents were asked to recount whether their super","fi, en",https://doi.org/10.60686/t-fsd3425,2020-10-26,2026-04-16T21:56:31.275499,finnish-social-science-data-archive,FSD3425,,API-CALL,In accordance with the agreement between FSD and the depositor.,
10,,11,https://www.fsd.tuni.fi/en,https://services.fsd.tuni.fi/catalogue/FSD3786,,Child Welfare in the Best Interest of the Child: Interviews 2021-2022,"The data consists of individual and group interviews related to services for families with children and child welfare. The interviews focus on the assessment of child well-being and the related process in situations where the central question is whether the case is a ""child welfare case"". The data was collected from child welfare professionals and supervisors in different municipal organizations, as well as from child welfare client workers and experts by experience. The experts are young adults","fi, en",https://doi.org/10.60686/t-fsd3786,2024-07-04,2026-04-16T21:56:31.806860,finnish-social-science-data-archive,FSD3786,,API-CALL,In accordance with the agreement between FSD and the depositor.,
